Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805,1,4.7uF,C1779
C2,C_0402,1,1uF,C52923
D1,D_SOD-123,1,MBR0530,
FPC1,FPC-SMD_30P-P0.50_XUNPU_FPC-05F-30PH15,1,FPC-05F-30PH15,C2856824
FPC2,FPC-SMD_22P-P0.50_FPC-05F-22PH20,1,FPC-05F-22PH20,C2856804
L1,INDC2012X145N,1,MLZ2012N100LT000,
R1,R_0805,1,33Ω,C17634
U1,SOT-23-5,1,TPS61041DBV,
